label,text
anger,grab minute post feel greedy wrong
anger,feel grouchy
anger,think easiest time year feel dissatisfy
anger,feel irritate reject without anyone anything say anything
anger,already feel like fuck though usually eat morning
anger,feel kinda appal feel like need explain wide lenghth body measure etc pp
anger,climb hill feel frustrate id pretty much pace entirely wrong course factor never ever hamper make dent day
anger,feel bite rude write elderly gentleman ask gift feel bite greedy christmas mild greed
anger,stop feel cold begin feel hot
anger,feel selfish spoil
anger,feel selfish read back former post never ask prayers others never consider may others deserve prayers answer
anger,know pain parent feel enrage child become violent
anger,feel anger firey
anger,feel like need make list leanne would appal think miss anything
anger,drive dannika school feel little bite rush greet turn corner
anger,remember feel hellip furious shooter
anger,feel bitter today mood strange entire day guess
anger,let go animosity towards anyone feel wrong
anger,say goodbye fam theyre sad cry feel like heartless bitch hey pretty excite fly first time know also spend year another country
anger,want get pumpkin spice latte morning hot last thing want hot coffee maybe feel little bitter
anger,also feel like selfish grateful life amaze things
anger,know perhaps girls office nice short hair perhaps feel rebellious
anger,feel really violent right
anger,feel disgust even associate woman race nationality
anger,laugh bitterly feel bitter
anger,say whatever come mind tell directly feel jealous girl insecure love person trust worthy friend sweet one love
anger,clearly influence dash happiness emily dickinson example use dash instead colons semi colons enhance feelings rush enjambment sonnet
anger,could claim redeem genre leave feel entirely frustrate point beat head wall either
anger,know days feel distract
anger,feel distract tend practice eye shut much possible
anger,revise reply mind make sure reply sound appropriate enough person receive reply feel offend
anger,sure lose feel like everyone hostile toward hate feel
anger,id kick gear feel irritable motivation ever
anger,start feel resentful
anger,feel fuck like everyday life
anger,feel like bitchy time upon retrospect think try shake
anger,monitor say anything ever come across blog feel offend please stop
anger,feel cranky
anger,feel furious right life advocate tell live die lobby support politicians sympathic view
anger,still pay attention feel distract
anger,mind feel like mind dangerous life
anger,feel impatient easily annoy outrage blatant defiance seem olivias prominent characteristic days
anger,always spend money mean feel dissatisfy exit store
anger,feel really quite angry
anger,start feel bite insult stranger
anger,see women wear boot feel envious want curse
anger,wonder cast caveman tell perfect part feel insult compliment
anger,start feel hostile check hemorrhoids
anger,feel like receive end violent attack
anger,feel selfish bring loneliness child know parent newtown grieve lose baby
anger,feel envious embarrass
anger,feel frustrate new music new lyric clearly nothing
anger,feel compliment insult
anger,feel irritate piss even like someone wake moment edge fall deep slumber
anger,feel bitter honkerblonked general
anger,sure folks virginia florida handful swing state agree feel put upon insult constant barrage
anger,feel envious kid certain moments
anger,feel piss aac feel kind miserable frustrate life whole week
anger,feel like normally would angry thats actually think could never beautiful size
anger,feel like hat celebrate wait till day say make
anger,feel rebellious particularly like watch romcoms get feel may pretty good write
anger,feel like care bite heartless
anger,feel bitchy hurt
anger,feel selfish talk anyone else thyroid want think dramatic whiny really hard understand yes someone look fine still feel terrible
anger,go clean slate unilaterally forgive feel wrong someone love intentionally carelessness thereby time forget perceive insult abuse
anger,feel like feel mistake time fuck sleep take
anger,feel dangerous game activities
anger,feel greedy money hungry absolutely
anger,feel fuck want shut
anger,must find way accept limitations older without feel hold back resentful
anger,feel wrong judge people make time however also find actually life need responsible action people around us
anger,currently feel way fuck mother tongue paper
anger,feel torture tragic enough without importance sparkle
anger,feel selfish think way feel lonely time
anger,feel like rather unkind
anger,feel bite obnoxious definately weather
anger,say press torso siwons bring face close enough feel siwons agitate breath
anger,feel little frustrate ache long settle heart weariness life slip around shoulder like unwelcome friend
anger,feel impatient take pills
anger,feel like go emotion angry
anger,feel insult everyone compare sneha
anger,feel every bite spiteful vindictive bitch time
anger,think would come fast would come suppose feel cranky today
anger,feel go stubborn
anger,start feel agitate lack patience right cranky
anger,know easy twist things create explanation still sure one help feel little less mad
anger,would hate bite imagine secretary feel irritable day eh
anger,feel agitate result pleasant opposite calm peaceful
anger,truly feel somehow enough hate get mad
anger,want enter defiance come different culture feel offend allow
anger,feel rebellious eat
anger,feel agitate restless edge quite often
anger,feel like actively hat every single second rather bear
anger,feel violent tug eye socket
anger,feel frustrate easier days remember bless research learn trial error hard success patience give far better garden long run
anger,tempt feel little bitter saw
anger,really feel horribly irritable little bite depress
anger,feel rush like plan certain things summer longer
anger,feel cold breeze
anger,try breathe feel frustrate breathe calm desire
anger,feel heartless feel bore believe love anymore
